Time,Vehicle_ID,Speed,Acceleration,Latitude,Longitude,Lane,Headway_Distance,Time_Gap,Speed_Limit,Lane_Change,From_Lane,To_Lane,Lane_Change_Reason,Collision
1.0,motorcycle_motorcycle_1741017011.558746,26.33743374835467,-2.082168304334118,41.888294792788095,-72.55552801925258,657717094#1_0,,,27.78,False,,,,False
2.0,motorcycle_motorcycle_1741017011.558746,33.04791897334508,0.0054210182915994665,41.88821570568369,-72.55557670118964,657717094#1_0,,,27.78,False,,,,False
3.0,motorcycle_motorcycle_1741017011.558746,25.010072340097395,-3.057101445392618,41.88832126471675,-72.55542770896557,657717094#1_0,,,27.78,False,,,,False
4.0,motorcycle_motorcycle_1741017011.558746,39.194608456702554,-1.7884288213263062,41.888364767698874,-72.55560662509862,657717094#1_0,,,27.78,False,,,,False
5.0,motorcycle_motorcycle_1741017011.558746,12.04949549830053,-4.988782890604853,41.88840392259607,-72.55556714403015,657717094#1_0,,,27.78,False,,,,False
6.0,motorcycle_motorcycle_1741017011.558746,6.075183400513197,-1.851119481430942,41.88799603660978,-72.55553680560806,657717094#1_0,,,27.78,False,,,,False
7.0,motorcycle_motorcycle_1741017011.558746,-0.659826612645702,-3.771330095707526,41.88837882169125,-72.55561137905232,657717094#1_0,,,27.78,False,,,,False
8.0,motorcycle_motorcycle_1741017011.558746,-3.9678093239708687,-4.556592016939248,41.888359771882556,-72.55542802096674,657717094#1_0,,,27.78,False,,,,False
9.0,motorcycle_motorcycle_1741017011.558746,-13.785979216932901,2.696877889062307,41.88846820535906,-72.55542433195168,:178392868_19_0,,,3.65,False,,,,False
10.0,motorcycle_motorcycle_1741017011.558746,2.4675820548800402,-0.3018044879754598,41.88828151990044,-72.55557707747265,-657717094#1_0,,,27.78,False,,,,False
11.0,motorcycle_motorcycle_1741017011.558746,2.7083263764870935,5.941556299017975,41.88833629908797,-72.55564158408363,-657717094#1_0,,,27.78,False,,,,False
12.0,motorcycle_motorcycle_1741017011.558746,9.32987875546678,0.9022825370448118,41.88837633996895,-72.55554198145701,-657717094#1_0,,,27.78,False,,,,False
13.0,motorcycle_motorcycle_1741017011.558746,16.56241270031751,6.178233132965033,41.888257575595375,-72.5555327247008,-657717094#1_0,,,27.78,False,,,,False
14.0,motorcycle_motorcycle_1741017011.558746,0.990463243353588,2.925595599173903,41.88837755708177,-72.55557836375942,-657717094#1_0,,,27.78,False,,,,False
15.0,motorcycle_motorcycle_1741017011.558746,12.574967917331378,2.7107880108451354,41.88842796687557,-72.55560141499971,-657717094#1_0,,,27.78,False,,,,False
16.0,motorcycle_motorcycle_1741017011.558746,20.70319167276466,3.5910089722729026,41.888298486340176,-72.55551624544809,-657717094#1_0,,,27.78,False,,,,False
17.0,motorcycle_motorcycle_1741017011.558746,19.747443977248622,3.2527196724749956,41.88816731687593,-72.55576148767862,-657717094#1_0,,,27.78,False,,,,False
18.0,motorcycle_motorcycle_1741017011.558746,21.037368719298684,0.857795078867639,41.888292080564106,-72.5556234488609,:178330171_0_0,188.83314611559035,-13579.446983169764,27.78,False,,,,False
19.0,motorcycle_motorcycle_1741017011.558746,37.26890186940727,2.092467080179631,41.88839481213146,-72.55551932508979,-657717094#0_0,300.44224519538693,3138.3912164233625,27.78,False,,,,False
20.0,motorcycle_motorcycle_1741017011.558746,18.435790996052674,2.7361279658489366,41.88848017365375,-72.55550941670421,-657717094#0_0,188.7716964139836,12878.299520175904,27.78,False,,,,False
21.0,motorcycle_motorcycle_1741017011.558746,23.265290495415684,0.11235389624198433,41.888513250310005,-72.55556352576556,-657717094#0_0,238.01699843868846,-1887.6368618682027,27.78,False,,,,False
22.0,motorcycle_motorcycle_1741017011.558746,35.5866177461794,-1.6344488622507924,41.88838651713529,-72.55548832700337,-247979030#6_0,177.3778619459481,-6252.824795253575,27.78,False,,,,False
23.0,motorcycle_motorcycle_1741017011.558746,17.75880212712218,-2.0243980242030375,41.88834354211907,-72.5555265954218,-247979030#6_0,,,27.78,False,,,,False
24.0,motorcycle_motorcycle_1741017011.558746,25.857774934564077,0.8430555600953085,41.88812526571177,-72.5555391818102,-247979030#6_0,,,27.78,False,,,,False
25.0,motorcycle_motorcycle_1741017011.558746,11.844160257103795,-0.6689495835598791,41.88829744661378,-72.55552431972175,-247979030#6_0,,,27.78,False,,,,False
26.0,motorcycle_motorcycle_1741017011.558746,28.36470594810089,-0.5111355944845855,41.88830545134539,-72.55546050253807,-247979030#6_0,123.08614368567942,-1265.6565234921873,27.78,False,,,,False
27.0,motorcycle_motorcycle_1741017011.558746,27.589872059637855,-0.24026221714484564,41.88824566192994,-72.55545292059982,-247979030#6_0,,,27.78,False,,,,False
28.0,motorcycle_motorcycle_1741017011.558746,32.88913686743035,2.0001990260298044,41.88836624718677,-72.55553624079278,-247979030#6_0,,,27.78,False,,,,False
29.0,motorcycle_motorcycle_1741017011.558746,17.276123652234674,-0.4504502820545895,41.88836679849281,-72.55549635285772,:178341532_4_0,,,27.78,False,,,,False
30.0,motorcycle_motorcycle_1741017011.558746,38.92395694679726,-1.2812240275543445,41.888397035881965,-72.55536781838546,-247979030#5_0,96.69167971791467,-1705.7020704858005,27.78,False,,,,False
31.0,motorcycle_motorcycle_1741017011.558746,27.384062900971912,0.9723106645869848,41.88807974911941,-72.55548916024479,-247979030#5_0,141.17692936595995,689.2231618203223,27.78,False,,,,False
32.0,motorcycle_motorcycle_1741017011.558746,26.957631161043537,-0.8719633683504071,41.88824627529302,-72.55551683330832,-247979030#5_0,216.57524005830055,-2869.3417411260307,27.78,False,,,,False
33.0,motorcycle_motorcycle_1741017011.558746,26.666412380509428,-0.9706807782349642,41.888113615040204,-72.5554664895416,:178428005_4_0,159.09196294593858,1848.0266374759376,27.78,False,,,,False
34.0,motorcycle_motorcycle_1741017011.558746,15.016012149011658,-0.2658685326532577,41.88819859782218,-72.55555736632998,-247979030#4_0,202.5712935802294,1356.0357758775353,27.78,False,,,,False
35.0,motorcycle_motorcycle_1741017011.558746,24.073037500907958,-0.12769476394350932,41.888411460569316,-72.55547940904061,-247979030#4_0,157.00026405154495,-6051.932942908257,27.78,False,,,,False
36.0,motorcycle_motorcycle_1741017011.558746,30.804006969134207,0.8593029595740518,41.88834806874007,-72.55553549238599,-247979030#4_0,206.22017361572944,-941.3252008594573,27.78,False,,,,False
37.0,motorcycle_motorcycle_1741017011.558746,49.74009646893683,0.2819776967262442,41.88835632160622,-72.5555182174379,-247979030#4_0,130.58185004326515,-3499.4618664309382,27.78,False,,,,False
38.0,motorcycle_motorcycle_1741017011.558746,21.919432165916078,1.9476428633424803,41.88839346920457,-72.5553965474843,-247979030#4_0,125.20496422750875,999.5301938578486,27.78,False,,,,False
39.0,motorcycle_motorcycle_1741017011.558746,35.87846840182465,-10.040346346719161,41.8883476429351,-72.55540430292284,-247979030#4_0,118.42555583512876,-261.8302673585713,27.78,False,,,,False
40.0,motorcycle_motorcycle_1741017011.558746,13.92485149413551,0.30463627430799534,41.88825067314339,-72.55555883373046,-247979030#4_0,,,27.78,False,,,,False
41.0,motorcycle_motorcycle_1741017011.558746,30.73941984749399,-2.156129253360632,41.88835092961668,-72.55542786893038,-247979030#4_0,,,27.78,False,,,,False
42.0,motorcycle_motorcycle_1741017011.558746,30.016866745783773,-1.9708793401296134,41.888326680328205,-72.55539874130235,-247979030#4_0,,,27.78,False,,,,False
43.0,motorcycle_motorcycle_1741017011.558746,20.790292272991792,2.8751674144059507,41.8882672010943,-72.55543743817232,-247979030#4_0,139.4253292035428,2989.6955755874515,27.78,False,,,,False
44.0,motorcycle_motorcycle_1741017011.558746,23.71631836281449,2.121903254334029,41.88839575278403,-72.55547814220253,-247979030#4_0,110.85191373521229,1048.236149802804,27.78,False,,,,False
45.0,motorcycle_motorcycle_1741017011.558746,32.31223275533557,0.9176142591095413,41.88833931903247,-72.55549802389878,-247979030#4_0,,,27.78,False,,,,False
46.0,motorcycle_motorcycle_1741017011.558746,34.77476812553505,-2.061919998639496,41.88824710271376,-72.5555497388989,:178439047_4_0,,,27.78,False,,,,False
47.0,motorcycle_motorcycle_1741017011.558746,39.291104243129666,1.537656743910702,41.888236572681905,-72.5554397743146,-247979030#3_0,145.46763888228452,10781.645052876323,27.78,False,,,,False
48.0,motorcycle_motorcycle_1741017011.558746,29.517475980348536,2.0903654303601797,41.88844457956742,-72.55546024825556,-247979030#3_0,,,27.78,False,,,,False
49.0,motorcycle_motorcycle_1741017011.558746,31.646845980249054,-0.06351804459154664,41.88823051367026,-72.55547585995019,-247979030#3_0,,,27.78,False,,,,False
50.0,motorcycle_motorcycle_1741017011.558746,27.918357718051993,-0.38525747835046786,41.88826542795205,-72.55548302677211,-247979030#3_0,,,27.78,False,,,,False
51.0,motorcycle_motorcycle_1741017011.558746,27.528950027292012,1.8105894310592703,41.88821810311543,-72.55545028200281,-247979030#2_0,185.4432939289254,257.0306683778763,27.78,False,,,,False
52.0,motorcycle_motorcycle_1741017011.558746,27.38385010915954,-0.05412171738498728,41.888241262099015,-72.5554381935478,-247979030#2_0,-16.53987580392277,668.1070679835975,27.78,False,,,,False
53.0,motorcycle_motorcycle_1741017011.558746,28.707600688227103,4.920045496701277,41.88836151651566,-72.5554199104861,-247979030#2_0,138.95536522357725,-7507.373279694468,27.78,False,,,,False
54.0,motorcycle_motorcycle_1741017011.558746,25.059735730668763,-0.5626628879854252,41.88817609596218,-72.55550223372332,-247979030#2_0,139.53019740059972,1605.3455211371183,27.78,False,,,,False
