Time,Vehicle_ID,Speed,Acceleration,Latitude,Longitude,Lane,Headway_Distance,Time_Gap,Speed_Limit,Lane_Change,From_Lane,To_Lane,Lane_Change_Reason,Collision
1.0,veh0,0.0,0.0,41.88821131456195,-72.5569971990791,-17178928#2_0,,,13.89,False,None,None,None,False
2.0,veh0,2.506885636271909,2.506885636271909,41.88821138067129,-72.55699719309438,-17178928#2_0,,,13.89,False,None,None,None,False
3.0,veh0,4.624560395441949,2.11767475917004,41.88821156873538,-72.55699717606939,-17178928#2_0,,,13.89,False,None,None,None,False
4.0,veh0,6.251684406399727,1.627124010957778,41.88821185555395,-72.55699715010438,-17178928#2_0,,,13.89,False,None,None,None,False
5.0,veh0,8.357151612848975,2.105467206449248,41.88821224080507,-72.55699711522851,-17178928#2_0,,,13.89,False,None,None,None,False
6.0,veh0,9.696717070881277,1.3395654580323022,41.88821271690549,-72.55699707212828,-17178928#2_0,,,13.89,False,None,None,None,False
7.0,veh0,11.825610233843326,2.128893162962049,41.888213284473,-72.55699702074774,-17178928#2_0,,,13.89,False,None,None,None,False
8.0,veh0,12.98150483126542,1.155894597422094,41.88821393866398,-72.5569969615254,-17178928#2_0,,,13.89,False,None,None,None,False
9.0,veh0,13.192621795123205,0.21111696385778522,41.88821462890456,-72.55699689903956,-17178928#2_0,,,13.89,False,None,None,None,False
10.0,veh0,14.021297763509438,0.8286759683862321,41.88821534656563,-72.55699683407143,-17178928#2_0,,,13.89,False,None,None,None,False
11.0,veh0,13.613979978964426,-0.4073177845450111,41.88821607533838,-72.55699676809736,-17178928#2_0,,,13.89,False,None,None,None,False
12.0,veh0,13.489249395078742,-0.12473058388568425,41.88821679008042,-72.55699670339347,-17178928#2_0,,,13.89,False,None,None,None,False
13.0,veh0,13.83331109032756,0.34406169524881847,41.88821826652179,-72.55699705249323,-17178928#1_0,,,13.89,False,None,None,None,False
14.0,veh0,13.484830504039065,-0.34848058628849543,41.88821898632544,-72.55699725965876,-17178928#1_0,,,13.89,False,None,None,None,False
15.0,veh0,13.90408109972509,0.41925059568602485,41.8882197079938,-72.55699746736097,-17178928#1_0,,,13.89,False,None,None,None,False
