Time,Vehicle_ID,Speed,Acceleration,Latitude,Longitude,Lane,Headway_Distance,Time_Gap,Speed_Limit,Lane_Change,From_Lane,To_Lane,Lane_Change_Reason,Collision
1.0,veh_passenger_1740853682.4176657,32.31392888523462,0.0,41.88830276228023,-72.55551743231963,657717094#1_0,,,27.78,False,None,None,None,False
2.0,veh_passenger_1740853682.4176657,32.80516338628456,0.49123450104994504,41.88830440637898,-72.55552078973378,657717094#1_0,,,27.78,False,None,None,None,False
3.0,veh_passenger_1740853682.4176657,34.521338907077165,1.7161755207926035,41.888306106209455,-72.55552426095768,657717094#1_0,,,27.78,False,None,None,None,False
4.0,veh_passenger_1740853682.4176657,34.247456588323416,-0.27388231875374913,41.888307842454324,-72.55552780654345,657717094#1_0,,,27.78,False,None,None,None,False
5.0,veh_passenger_1740853682.4176657,34.02335317116901,-0.22410341715440296,41.88830645782336,-72.55552617555817,-657717094#1_0,,,27.78,False,None,None,None,False
6.0,veh_passenger_1740853682.4176657,34.495292750193926,0.47193957902491235,41.888304727890635,-72.5555226427482,-657717094#1_0,,,27.78,False,None,None,None,False
7.0,veh_passenger_1740853682.4176657,34.63841575068161,0.14312300048768378,41.88830298242904,-72.5555190782257,-657717094#1_0,,,27.78,False,None,None,None,False
8.0,veh_passenger_1740853682.4176657,32.40771425497457,-2.230701495707038,41.888300558179466,-72.55551432322807,-657717094#0_0,,,27.78,False,None,None,None,False
9.0,veh_passenger_1740853682.4176657,32.64714026172385,0.2394260067492766,41.88829891410588,-72.55551100745524,-657717094#0_0,,,27.78,False,None,None,None,False
10.0,veh_passenger_1740853682.4176657,34.897296742356566,2.250156480632718,41.88829651012845,-72.55550545906172,-247979030#6_0,,,27.78,False,None,None,None,False
11.0,veh_passenger_1740853682.4176657,32.8452363180995,-2.052060424257064,41.88829482647367,-72.55550141588276,-247979030#6_0,,,27.78,False,None,None,None,False
12.0,veh_passenger_1740853682.4176657,33.0060557095401,0.16081939144059731,41.88829318982328,-72.55549748558157,-247979030#6_0,,,27.78,False,None,None,None,False
13.0,veh_passenger_1740853682.4176657,32.927712836682055,-0.07834287285804464,41.88829154047377,-72.55549376894466,-247979030#6_0,,,27.78,False,None,None,None,False
14.0,veh_passenger_1740853682.4176657,32.80239370037541,-0.12531913630664349,41.888289851617884,-72.55549119094205,-247979030#6_0,,,27.78,False,None,None,None,False
15.0,veh_passenger_1740853682.4176657,33.938644160057606,1.136250459682195,41.888288109212574,-72.55548950834297,-247979030#6_0,,,27.78,False,None,None,None,False
16.0,veh_passenger_1740853682.4176657,32.95273124427274,-0.9859129157848656,41.888285603852715,-72.55548708651887,-247979030#5_0,,,27.78,False,None,None,None,False
17.0,veh_passenger_1740853682.4176657,32.32301911162883,-0.6297121326439097,41.888283899577374,-72.55548544032116,-247979030#5_0,,,27.78,False,None,None,None,False
18.0,veh_passenger_1740853682.4176657,34.63469052734524,2.311671415716411,41.88828215140487,-72.55548375090517,-247979030#5_0,,,27.78,False,None,None,None,False
19.0,veh_passenger_1740853682.4176657,33.2065689066492,-1.4281216206960394,41.8882796227847,-72.55548130727503,-247979030#4_0,,,27.78,False,None,None,None,False
20.0,veh_passenger_1740853682.4176657,33.88473928655237,0.6781703799031646,41.888277871224055,-72.55547961459558,-247979030#4_0,,,27.78,False,None,None,None,False
21.0,veh_passenger_1740853682.4176657,32.7592653057605,-1.1254739807918668,41.888276131341215,-72.55547793320139,-247979030#4_0,,,27.78,False,None,None,None,False
22.0,veh_passenger_1740853682.4176657,32.99820867162868,0.238943365868181,41.88827441460313,-72.5554762741739,-247979030#4_0,,,27.78,False,None,None,None,False
23.0,veh_passenger_1740853682.4176657,32.675356292358785,-0.3228523792698965,41.88827270005567,-72.5554746172634,-247979030#4_0,,,27.78,False,None,None,None,False
24.0,veh_passenger_1740853682.4176657,34.8729352099888,2.1975789176300182,41.88827093656451,-72.5554729130545,-247979030#4_0,,,27.78,False,None,None,None,False
25.0,veh_passenger_1740853682.4176657,34.21531101884991,-0.6576241911388934,41.88826913283155,-72.55547117179893,-247979030#4_0,,,27.78,False,None,None,None,False
26.0,veh_passenger_1740853682.4176657,32.94714175826609,-1.268169260583818,41.888267378505255,-72.55546952415524,-247979030#4_0,,,27.78,False,None,None,None,False
27.0,veh_passenger_1740853682.4176657,33.19826150872484,0.25111975045874857,41.8882656462912,-72.55546813233303,-247979030#4_0,,,27.78,False,None,None,None,False
28.0,veh_passenger_1740853682.4176657,33.97733859020025,0.7790770814754069,41.88826388709874,-72.55546671881349,-247979030#4_0,,,27.78,False,None,None,None,False
29.0,veh_passenger_1740853682.4176657,32.863548677235094,-1.113789912965153,41.888262138570184,-72.55546521318612,-247979030#4_0,,,27.78,False,None,None,None,False
30.0,veh_passenger_1740853682.4176657,34.57776687034145,1.7142181931063547,41.88825962828885,-72.55546266209707,-247979030#3_0,,,27.78,False,None,None,None,False
31.0,veh_passenger_1740853682.4176657,34.90708045559675,0.3293135852552993,41.88825781963357,-72.55546067235356,-247979030#3_0,,,27.78,False,None,None,None,False
32.0,veh_passenger_1740853682.4176657,33.20257310085669,-1.704507354740059,41.88825604713304,-72.55545870684709,-247979030#3_0,,,27.78,False,None,None,None,False
33.0,veh_passenger_1740853682.4176657,33.61895548282862,0.41638238197192834,41.88825356585773,-72.55545565065175,-247979030#2_0,,,27.78,False,None,None,None,False
34.0,veh_passenger_1740853682.4176657,34.23734023906961,0.6183847562409923,41.88825180692732,-72.55545342551862,-247979030#2_0,,,27.78,False,None,None,None,False
35.0,veh_passenger_1740853682.4176657,34.811632592796535,0.5742923537269249,41.88824928921353,-72.55544985539086,-247979030#1_0,,,27.78,False,None,None,None,False
36.0,veh_passenger_1740853682.4176657,32.94485000372604,-1.866782589070496,41.88824756649527,-72.55544664276034,-247979030#1_0,,,27.78,False,None,None,None,False
37.0,veh_passenger_1740853682.4176657,34.57736049956382,1.6325104958377779,41.888245851069954,-72.55544340909753,-247979030#1_0,,,27.78,False,None,None,None,False
